Not using distributed mode
Namespace(aux_loss=False, batch_size=3, dataset='coco', device='cuda', dist_url='env://', distributed=False, epochs=30, lr=0.01, model='fcn_resnet101', momentum=0.9, output_dir='.', pretrained=True, print_freq=10, resume='', start_epoch=0, test_only=True, weight_decay=0.0001, workers=0, world_size=1)
loading annotations into memory...
Done (t=13.98s)
creating index...
index created!
loading annotations into memory...
Done (t=0.41s)
creating index...
index created!
Test:  [   0/1667]  eta: 0:18:35    time: 0.6694  data: 0.0871  max mem: 809
Test:  [ 100/1667]  eta: 0:12:37    time: 0.4787  data: 0.0633  max mem: 1367
Test:  [ 200/1667]  eta: 0:12:09    time: 0.5153  data: 0.0705  max mem: 1575
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
_convolution                 0.00%            1.893ms          0.02%            23.465ms         384.679us        0.37%            1.773s           29.066ms         61               [[3, 2048, 65, 98], [512, 2048, 3,   
cudnn_convolution            0.04%            57.491ms         0.08%            106.546ms        201.410us        0.36%            1.772s           3.349ms          529              [[3, 256, 65, 87], [256, 256, 3, 3]  
cudnn_convolution            0.01%            7.339ms          0.01%            18.543ms         303.978us        0.36%            1.772s           29.041ms         61               [[3, 2048, 65, 98], [512, 2048, 3,   
conv2d                       0.00%            2.918ms          0.10%            127.844ms        347.401us        0.36%            1.742s           4.733ms          368              [[3, 256, 98, 87], [256, 256, 3, 3]  
convolution                  0.00%            2.605ms          0.09%            124.925ms        339.471us        0.36%            1.741s           4.730ms          368              [[3, 256, 98, 87], [256, 256, 3, 3]  
_convolution                 0.01%            11.380ms         0.09%            122.320ms        332.391us        0.36%            1.739s           4.727ms          368              [[3, 256, 98, 87], [256, 256, 3, 3]  
conv2d                       0.00%            5.436ms          0.72%            967.634ms        1.466ms          0.36%            1.736s           2.630ms          660              [[3, 1024, 98, 98], [256, 1024, 1,   
convolution                  0.00%            4.756ms          0.72%            962.198ms        1.458ms          0.36%            1.734s           2.627ms          660              [[3, 1024, 98, 98], [256, 1024, 1,   
_convolution                 0.16%            219.948ms        0.71%            957.442ms        1.451ms          0.36%            1.732s           2.624ms          660              [[3, 1024, 98, 98], [256, 1024, 1,   
cudnn_convolution            0.03%            37.940ms         0.07%            94.610ms         257.091us        0.36%            1.730s           4.702ms          368              [[3, 256, 98, 87], [256, 256, 3, 3]  
